feature,variance,variance_rank,logreg_importance,logreg_rank,rf_importance,rf_rank,avg_rank
LOC_Os10g36980,4.427131449617879,13,0.022227738138230122,194,0.008039473684210525,31,79.33333333333333
LOC_Os01g58670,3.1729238564890823,44,0.03427926228161791,73,0.002804132231404959,122,79.66666666666667
LOC_Os09g34250,4.280974615685851,19,0.024380355701988946,159,0.004789473684210526,66,81.33333333333333
LOC_Os02g21300,3.0781007925793693,56,0.022302961128034107,190,0.021241930830255894,3,83.0
LOC_Os02g56700,4.339850671557533,17,0.025109237631084653,144,0.003940956735057985,93,84.66666666666667
LOC_Os09g34270,2.7754730365979308,72,0.028390728037504073,113,0.004715093518921269,69,84.66666666666667
LOC_Os03g17480,3.0966291467783993,52,0.03435989813813368,71,0.002377358490566038,137,86.66666666666667
LOC_Os11g04140,2.1069102032407923,130,0.043327349271323624,37,0.0037200299700299705,102,89.66666666666667
LOC_Os04g26920,2.5601321138689146,86,0.022527770522095383,182,0.020898025198286617,4,90.66666666666667
LOC_Os09g16330,4.455544249428494,12,0.02195030589400553,203,0.005041322314049586,61,92.0
LOC_Os01g45110,3.0948493274010804,53,0.021954313868109327,202,0.009831984105176385,23,92.66666666666667
LOC_Os06g09717,5.6043730464615145,8,0.023248139024186276,171,0.0036602620568156785,103,94.0
LOC_Os02g09510,2.8423239732020398,68,0.022420039326099938,186,0.0070857710642972275,36,96.66666666666667
LOC_Os01g43690,1.6960532005832527,231,0.06018414247783838,15,0.005118411000763942,59,101.66666666666667
LOC_Os08g34290,1.7163916642207875,226,0.04189877306568653,43,0.007035083549529071,37,102.0
LOC_Os04g28390,2.067207467684809,138,0.03184672001851371,86,0.004290254237288136,83,102.33333333333333
LOC_Os03g55240,4.014893360542271,22,0.01982090153942516,241,0.006146788990825689,44,102.33333333333333
LOC_Os01g16146,3.1611672281952723,45,0.020298217453806364,230,0.006687668654268853,41,105.33333333333333
LOC_Os10g38740,2.720941572853289,76,0.02030976821914222,229,0.0135890617443059,11,105.33333333333333
LOC_Os04g42830,2.5681254957815254,85,0.02447203237431061,157,0.0043569449661908346,81,107.66666666666667
LOC_Os09g38130,2.043887964877234,141,0.030702185702143666,94,0.0041280058853280606,88,107.66666666666667
LOC_Os02g53870,1.790308590309439,205,0.03485414185840799,68,0.005609382908059814,51,108.0
LOC_Os09g27260,2.236037549773373,114,0.024575577641388773,156,0.00496933962264151,65,111.66666666666667
LOC_Os05g11650,1.7311479928528892,220,0.049652733848511495,21,0.0030674402492097026,113,118.0
LOC_Os01g50200,3.0416233499165437,58,0.035665227997448236,63,0.0,233,118.0
LOC_Os09g37180,4.395795726457465,15,0.02231210051700956,189,0.0019780219780219785,154,119.33333333333333
LOC_Os01g01280,2.546674193879032,87,0.024746254156555514,152,0.002806652806652808,121,120.0
LOC_Os01g06670,1.5859310608027533,282,0.03434092162481425,72,0.01345767646514412,12,122.0
LOC_Os02g48850,2.4806597500074448,92,0.02686051101415306,124,0.0020118045229779737,151,122.33333333333333
LOC_Os05g45100,3.474306628655112,35,0.03901089297878934,53,0.0,281,123.0
LOC_Os11g14910,1.935555050069396,172,0.024661671250817346,154,0.005773848684210527,47,124.33333333333333
LOC_Os03g08900,2.798065127959861,71,0.019025494622584183,257,0.005933745813648461,46,124.66666666666667
LOC_Os03g08880,2.4429060014740775,96,0.031236419735279644,89,0.0010188679245283017,190,125.0
LOC_Os10g34020,4.086182152986122,21,0.01918727778655331,255,0.0037755545889517177,99,125.0
LOC_Os02g16270,2.5357704995485006,89,0.02396563361197952,163,0.002778730703259005,123,125.0
LOC_Os01g49720,2.105488804492765,132,0.019721994861297082,244,0.009910337443053852,22,132.66666666666666
LOC_Os04g28320,1.7826745910153237,206,0.03935427503463475,50,0.002169421487603306,143,133.0
LOC_Os08g06280,1.6821586899782792,236,0.02497828424238442,146,0.011265562210933356,18,133.33333333333334
LOC_Os03g45250,2.8052289953926004,70,0.021913041975105574,204,0.0025746980292434846,128,134.0
LOC_Os06g31090,3.1258746065065486,50,0.044649538587585934,35,0.0,318,134.33333333333334
LOC_Os02g26670,1.8578764017136358,187,0.027207522085348487,120,0.003778881987577639,98,135.0
LOC_Os01g64310,4.292025967141319,18,0.016869065307164085,299,0.004045871559633028,89,135.33333333333334
LOC_Os12g41630,1.6811630002568392,238,0.0350516250887462,65,0.0030502092050209203,114,139.0
LOC_Os04g03164,1.8113815026767504,198,0.02663125778494521,125,0.0038489709443099286,94,139.0
LOC_Os03g37520,1.9520800897636805,167,0.020199566983264895,234,0.011090714344597756,19,140.0
LOC_Os11g13390,3.084301254711354,55,0.019927519809642125,238,0.002410169083995687,135,142.66666666666666
LOC_Os07g44440,1.8266427546348254,194,0.02264090830803199,178,0.005274671852211959,57,143.0
LOC_Os11g37210,2.0989179807093534,133,0.03003356525731281,98,0.000996503496503496,201,144.0
LOC_Os11g02800,1.7770855085464308,208,0.035311917262513044,64,0.0017999999999999997,160,144.0
LOC_Os07g28660,1.3867029775149513,405,0.08991833183757782,2,0.00876887051396418,28,145.0
LOC_Os03g08520,1.9989199836325147,148,0.02488487360952557,149,0.0022149975692756442,141,146.0
LOC_Os01g56570,3.8977662298954425,26,0.02146732818463547,210,0.0009917355371900827,204,146.66666666666666
LOC_Os05g02730,2.016971039937744,146,0.021001814257440868,216,0.004406779661016949,78,146.66666666666666
LOC_Os02g53510,1.5415845542736877,306,0.0342334772673176,74,0.005046092610597959,60,146.66666666666666
LOC_Os10g19925,2.42245682328739,97,0.017024576786148504,296,0.005439199790794979,54,149.0
LOC_Os08g39850,2.0768254285662824,134,0.020224100059798508,233,0.004383266273688418,80,149.0
LOC_Os07g02690,1.411818960775304,377,0.04822069146625257,22,0.004992495711835334,63,154.0
LOC_Os10g38780,1.5877939795748082,281,0.032121011768657594,84,0.003745503159941661,100,155.0
LOC_Os04g54230,2.3394311354072572,105,0.026130963151661784,131,0.0005624999999999998,229,155.0
LOC_Os07g44140,3.673603896574808,29,0.015922425518680592,312,0.0027182569496619086,125,155.33333333333334
